offer_id;dealer_plz;dealer_city;dealer_street_house_nr;make;model;price_raw;camera_resolution_raw;battery_life_raw;storage_size_raw;screen_size_raw;description_raw
83197857;6394;Volketswil;Blaserstrasse 19;Apple;iPhone 13;CHF 2518.-;20 MP;16 hrs;256 GB;6.1 IN;Langlebige Batterie mit Schnellladefunktion, die den ganzen Tag durchhält.
36687537;9532;Oberwil;Furrerstrasse 1;Vivo;Vivo V21;CHF 266.-;12 MP;16 hrs;128 GB;5.8 IN;Modernste Gesichtserkennungstechnologie für Sicherheit.
66722344;2227;Rüti;Maierstrasse 31;Vivo;Vivo V21;CHF 424.-;12 MP;20 hrs;256 GB;5.8 IN;Ultra-HD-Display für eine atemberaubende Bildqualität und Details.
56164955;5766;Bülach;Sidlerstrasse 6;Google;Pixel 6a;CHF 597.-;12 MP;25 hrs;64 GB;5.8 IN;Mit Stiftunterstützung für Kreativität und Präzision.
94374605;8304;Belp;Steinerstrasse 8;Google;Pixel 6;CHF 1934.-;20 MP;23 hrs;64 GB;5.8 IN;Aufgeteilt in benutzerfreundliche Kategorien für schnelle Navigation.
20709497;3292;Wohlen;Walderstrasse 15;Google;Pixel 8;CHF 743.-;12 MP;20 hrs;64 GB;5.8 IN;Elegantes Gehäuse aus kratzfestem Glas und robustem Aluminium.
99949389;6224;Ecublens;Hodelstrasse 49;Apple;iPhone 16;CHF 572.-;12 MP;22 hrs;64 GB;5.8 IN;Professionelle Bildbearbeitung direkt auf dem Gerät mit High-End-Software.
95899313;2562;Le Grand-Saconnex;Grafstrasse 77;Apple;iPhone SE;CHF 1284.-;16 MP;21 hrs;64 GB;5.8 IN;Lässt sich einfach mit anderen Smart-Home-Geräten verbinden.
52339391;3611;Wettingen;Kaiserstrasse 70;Vivo;Vivo X60;CHF 483.-;16 MP;25 hrs;64 GB;5.8 IN;Verbesserte Bildstabilisierung für perfekte Videos auch in Bewegung.
63100814;7550;Herisau;Hoferstrasse 173;Google;Pixel 6;CHF 269.-;12 MP;35 hrs;128 GB;6.1 IN;Optimaler Komfort für lange Streaming-Sessions und Gaming-Abende.
67503414;2623;Richterswil;Hürlimannstrasse 88;Xiaomi;Mi 11T;CHF 278.-;12 MP;19 hrs;128 GB;6.5 IN;Perfekt für die Familie: hohe Sicherheit und einfache Kindersicherung.
24716857;7372;Münsingen;Jennistrasse 5;Xiaomi;Redmi Note 10;CHF 1136.-;12 MP;34 hrs;128 GB;6.5 IN;Genießen Sie ultra-schnelles 5G für beste Konnektivität und Geschwindigkeit.
43744231;2949;Maur;Blaserstrasse 91;Samsung;Galaxy S24;CHF 1284.-;12 MP;18 hrs;128 GB;6.1 IN;Kompakte Größe bei maximaler Leistung – ideal für den Alltag.
49392920;1550;Ittigen;Zimmermannstrasse 679;Apple;iPhone 13;CHF 1375.-;16 MP;22 hrs;256 GB;5.8 IN;Hochwertige Audioqualität für Musikliebhaber und Filmfreunde.
33978249;7385;Wohlen;Kälinstrasse 1;Samsung;Galaxy S22;CHF 489.-;12 MP;30 hrs;64 GB;6.1 IN;Ein umfassendes App-Ökosystem für Unterhaltung und Produktivität.
82394227;7686;Yverdon-les-Bains;Kälinstrasse 88;Apple;iPhone 15;CHF 2338.-;48 MP;21 hrs;64 GB;6.5 IN;Wetterfeste Bauweise für Regen- und Sonnenbeständigkeit.
51273847;6525;Carouge;Meilistrasse 22;Vivo;Vivo X50;CHF 902.-;16 MP;20 hrs;512 GB;6.7 IN;Mit adaptiver Helligkeit, die sich automatisch Ihrer Umgebung anpasst.
81498611;7800;Bülach;Sidlerstrasse 881;Apple;iPhone 14;CHF 4291.-;48 MP;30 hrs;256 GB;6.5 IN;Hohes Arbeitstempo auch bei speicherintensiven Anwendungen.
66792612;8261;Dübendorf;Näfstrasse 50;Samsung;Galaxy S20;CHF 1371.-;16 MP;31 hrs;64 GB;6.7 IN;Starker Akku, der den ganzen Tag hält, auch bei intensiver Nutzung.
79467853;9622;Allschwil;Zürcherstrasse 65;Vivo;Vivo X60;CHF 286.-;16 MP;20 hrs;256 GB;6.1 IN;Makromodus für beeindruckende Nahaufnahmen und Detailgenauigkeit.
10965138;6233;Veyrier;Lutzstrasse 40;Apple;iPhone 14;CHF 1493.-;12 MP;19 hrs;128 GB;6.1 IN;Perfekt für Business und Freizeit: Hohes Arbeitstempo und starker Akku.
99788677;1571;Sitten;Staubstrasse 67;Apple;iPhone 14;CHF 271.-;12 MP;17 hrs;64 GB;5.8 IN;Ultra-weite Weitwinkelkamera für mehr Raum in jedem Foto.
73481353;1194;Veyrier;Stalderstrasse 68;Samsung;Galaxy S23;CHF 317.-;12 MP;34 hrs;128 GB;5.8 IN;Ergonomisches Design für höchsten Komfort bei langer Nutzung.
17270733;3731;Bassersdorf;Stadelmannstrasse 979;Samsung;Galaxy S10;CHF 1114.-;12 MP;23 hrs;128 GB;6.7 IN;Großartiger Kundenservice und schnelle Updates für Problembehebungen.
70211891;7861;Oftringen;Rothstrasse 89;Apple;iPhone 13;CHF 975.-;12 MP;15 hrs;64 GB;5.8 IN;Benutzerfreundliche Oberfläche für müheloses Multitasking und Effizienz.
83863413;9720;Renens;Baurstrasse 395;Xiaomi;Mi 11T;CHF 725.-;12 MP;15 hrs;128 GB;6.7 IN;Tolle Fotos auch bei schwachem Licht – fangen Sie besondere Momente ein.
38688676;4495;Hinwil;Lehmannstrasse 101;Apple;iPhone SE;CHF 2388.-;48 MP;31 hrs;64 GB;6.1 IN;Verbesserte Bildstabilisierung für perfekte Videos auch in Bewegung.
48285503;9970;Oberwil;Grafstrasse 21;Apple;iPhone 14;CHF 2897.-;12 MP;32 hrs;512 GB;6.5 IN;Smart-Home-Konnektivität für mehr Kontrolle und Komfort.
52091325;7260;Schlieren;Grossstrasse 58;Vivo;Vivo V21;CHF 261.-;12 MP;15 hrs;128 GB;6.1 IN;Sicherheit auf höchstem Niveau mit erweiterten Schutzfunktionen.
20752378;7233;Gossau;Hofstetterstrasse 10;Apple;iPhone SE;CHF 5292.-;16 MP;34 hrs;64 GB;6.9 IN;Einfache Synchronisation mit all Ihren Geräten und Anwendungen.
43046464;4902;Möhlin;Meisterstrasse 80;Apple;iPhone SE;CHF 1888.-;12 MP;28 hrs;64 GB;6.7 IN;Perfekt für die Familie: hohe Sicherheit und einfache Kindersicherung.
44999379;9859;Rüti;Grafstrasse 4;Vivo;Vivo X50;CHF 333.-;16 MP;24 hrs;128 GB;5.8 IN;Erstklassige Kamera-Software für perfekte Portrait- und Landschaftsaufnahmen.
19736572;6780;Wil;Wolfstrasse 18;Google;Pixel 6a;CHF 307.-;12 MP;20 hrs;64 GB;5.8 IN;Perfekt für Fotografie-Liebhaber: Mit einer Kamera, die jeden Moment detailgetreu einfängt.
27778019;7018;Neuenburg;Gfellerstrasse 62;Xiaomi;Redmi 12 Pro;CHF 3257.-;108 MP;30 hrs;128 GB;6.1 IN;Energiesparmodus, der automatisch aktiviert wird, um Akku zu sparen.
97775215;8883;Chur;Lustenbergerstrasse 75;Apple;iPhone 14;CHF 2321.-;12 MP;19 hrs;256 GB;6.1 IN;Innovative Smart-Funktionen für ein intuitives Benutzererlebnis.
84252420;3974;Schaffhausen;Meyerstrasse 14;Apple;iPhone SE;CHF 2206.-;12 MP;21 hrs;64 GB;6.7 IN;Genießen Sie ultra-schnelles 5G für beste Konnektivität und Geschwindigkeit.
77834855;4889;Olten;Gloorstrasse 52;Google;Pixel 7;CHF 1359.-;16 MP;26 hrs;256 GB;6.7 IN;Ultra-weite Weitwinkelkamera für mehr Raum in jedem Foto.
27558317;5647;Morges;Schäferstrasse 807;Google;Pixel 6;CHF 478.-;12 MP;22 hrs;64 GB;5.8 IN;Mehrsprachige Unterstützung für internationale Nutzer.
30005727;6531;Riehen;Aebistrasse 610;Google;Pixel 6a;CHF 743.-;20 MP;23 hrs;128 GB;5.8 IN;Langjährige Updates und Support für ein nachhaltiges Nutzererlebnis.
15354599;3167;Carouge;Mayerstrasse 816;Apple;iPhone 15;CHF 690.-;16 MP;16 hrs;64 GB;5.8 IN;Nachtmodus für eine komfortable Nutzung auch bei Dunkelheit.
